domain	country	A	NS	CNAME	MX	TXT
everydaygrowth.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
ibstockgroup.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
ibstravels.uk	GB	46.23.69.44	dns3.uk2.net,dns1.uk2.net,dns2.uk2.net		{'exchange': 'mx.ibstravels.uk.cust.a.hostedemail.com', 'priority': 0}	
ibuildresources.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helens-bakery.co.uk	US	184.168.131.241	ns78.domaincontrol.com,ns77.domaincontrol.com			
ethanworton.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helens-hair.co.uk			ns1.pickaweb.co.uk,ns2.pickaweb.co.uk		{'exchange': 'helens-hair.co.uk', 'priority': 0}	v=spf1 ip4:89.187.86.6 +a +mx +ip4:185.23.176.203 ~all
everythingforpets.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
helens-handmades.co.uk	SE	185.76.66.12	ns3.misspark.com,ns2.misspark.com,ns1.misspark.com,ns4.misspark.com		{'exchange': 'cps02.4ukhost.uk', 'priority': 0}	v=spf1 a mx ip4:92.48.127.136 ~all
ethelannadesigns.uk	GB	109.228.52.71	ns21.cloudns.net,ns1.lhst.uk		{'exchange': 'mail.ethelannadesigns.uk', 'priority': 10}	v=spf1 mx a ~all
helens-pass-class.co.uk	DE	217.160.0.49	ns1115.ui-dns.com,ns1115.ui-dns.de,ns1115.ui-dns.org,ns1115.ui-dns.biz		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
everythingiot.uk	GB	79.170.40.4	ns.mainnameserver.com,ns2.mainnameserver.com		{'exchange': 'mail.everythingiot.uk', 'priority': 10}	
helensaberi.co.uk	US	77.104.180.162	ns1.uk41.siteground.eu,ns2.uk41.siteground.eu		{'exchange': 'mx10.mailspamprotection.com', 'priority': 10},{'exchange': 'mx30.mailspamprotection.com', 'priority': 30},{'exchange': 'mx20.mailspamprotection.com', 'priority': 20}	v=spf1 +a +mx +a:ns1.uk41.siteground.eu include:_spf.mailspamprotection.com ~all
ic-it-systems.uk	GB	77.68.64.5	ns3.livedns.co.uk,ns1.livedns.co.uk,ns2.livedns.co.uk		{'exchange': 'mailserver.ic-it-systems.uk', 'priority': 10}	
helensandler.co.uk	GB	77.72.1.98	ns2.krystal.co.uk,ns1.krystal.co.uk		{'exchange': 'mx1.krystal.co.uk', 'priority': 10},{'exchange': 'mx2.krystal.co.uk', 'priority': 20}	
ic-resources.uk	US	184.168.131.241	ns65.domaincontrol.com,ns66.domaincontrol.com			
helensaraflowers.co.uk	US	199.34.228.79	dns246.c.register.com,dns176.d.register.com,dns069.a.register.com,dns025.b.register.com		{'exchange': 'mx-ef.myregisteredsite.com', 'priority': 5},{'exchange': 'inbound.registeredsite.com', 'priority': 10}	
etherealearth.uk	US	198.185.159.145,198.49.23.144,198.49.23.145,198.185.159.144	ns2.123-reg.co.uk,ns.123-reg.co.uk			
ic5.uk	DE	82.165.202.35	alex.ns.cloudflare.com,lucy.ns.cloudflare.com			
helensaunderstherapy.co.uk	GB	79.170.40.46	ns.mainnameserver.com,ns2.mainnameserver.com		{'exchange': 'mail.helensaunderstherapy.co.uk', 'priority': 10}	v=spf1 a mx a:mailforwards.extendcp.co.uk ~all
helensavage.co.uk			ns2.ukdnsservers.co.uk,ns3.ukdnsservers.co.uk,ns4.ukdnsservers.co.uk,ns1.ukdnsservers.co.uk		{'exchange': 'us2.mx3.mailhostbox.com', 'priority': 100},{'exchange': 'us2.mx1.mailhostbox.com', 'priority': 100},{'exchange': 'us2.mx2.mailhostbox.com', 'priority': 100}	v=spf1 redirect=_spf.mailhostbox.com
everythinglightwave.uk			ns1.hostingforbusiness.co.uk,ns2.hostingforbusiness.co.uk			
icadeskins.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
everythingtywyn.uk			ns1.cloudhosting360.co.uk,ns2.cloudhosting360.co.uk		{'exchange': 'mx1.cloudhosting.co.uk', 'priority': 10},{'exchange': 'mx2.cloudhosting.co.uk', 'priority': 20}	v=spf1 +a +mx +ip4:77.72.0.110 ~all
icaewharrow.uk	GB	93.184.220.23	ns0.lcn.com,ns1.lcn.com,ns2.lcn.com		{'exchange': 'mailforward.lcn.com', 'priority': 10}	v=spf1 ip4:94.126.40.0/24 ip4:94.126.44.0/22 ip4:178.18.112.0/22 ?all
everythingweb.uk	GB	87.117.216.124	ns2.doughnuts.co.uk,ns1.doughnuts.co.uk		{'exchange': 'mx1.brunelcomputing.com', 'priority': 10},{'exchange': 'mx2.brunelcomputing.com', 'priority': 10}	
icafelounge.uk	GB	213.171.195.105	ns1.livedns.co.uk,ns3.livedns.co.uk,ns2.livedns.co.uk			
icallsuite.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
everywhereeverything.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
icamsystems.uk			dns0.proweb.net,dns1.proweb.net,dns2.proweb.net			
evesbestiary.uk	GB	94.136.40.103	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
icanchangeyourmind.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
evesley.uk	GB	46.249.203.132	ns-a.happyserver.co.uk,ns-b.happyserver.co.uk,ns-c.happyserver.uk		{'exchange': 'mx.happyserver.co.uk', 'priority': 7}	
helensburghfloorplanltd.co.uk	GB	213.171.195.105	ns1.livedns.co.uk,ns3.livedns.co.uk,ns2.livedns.co.uk			
icanpatient.uk	US	165.160.15.20,165.160.13.20	nsgbr.comlaude.co.uk,nssui.comlaude.ch,nsusa.comlaude.net		{'exchange': 'custmx.cscdns.net', 'priority': 10}	
icanpay.uk	GB	185.157.234.88	ns63.domaincontrol.com,ns64.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
helensburghlionsclub.co.uk	GB	5.153.222.33	ns3.xnameserver.net,ns2.xnameserver.net,ns1.xnameserver.net		{'exchange': 'mxs2.xsmtpserver.net', 'priority': 20},{'exchange': 'mxs1.xsmtpserver.net', 'priority': 10}	v=spf1 redirect=spf.xsmtpserver.net
evgasltd.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helensburghminibushire.co.uk	US	160.153.129.211	ns01.domaincontrol.com,ns02.domaincontrol.com		{'exchange': 'mail.helensburghminibushire.co.uk', 'priority': 0}	v=spf1 a mx ptr include:secureserver.net ~all
evgenysaveliev.uk			ns01.000webhost.com,ns02.000webhost.com			
icantbelieveitsnotbetting.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
eviction.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helensburghsoap.co.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
icardlabs.uk	US	206.188.193.149	ns46.worldnic.com,ns45.worldnic.com		{'exchange': 'p.webcom.ctmail.com', 'priority': 10}	
helensburghtaxis.co.uk	US	160.153.129.211	ns01.domaincontrol.com,ns02.domaincontrol.com		{'exchange': 'mail.helensburghtaxis.co.uk', 'priority': 0}	v=spf1 a mx ptr include:secureserver.net ~all
evidence-based-co-design.uk	GB	88.208.252.9	ns3.livedns.co.uk,ns2.livedns.co.uk,ns1.livedns.co.uk		{'exchange': 'mailserver.evidence-based-co-design.uk', 'priority': 10}	
helensburghtaxiscompare.co.uk	US	160.153.129.211	ns53.domaincontrol.com,ns54.domaincontrol.com		{'exchange': 'mail.helensburghtaxiscompare.co.uk', 'priority': 0}	v=spf1 a mx ptr include:secureserver.net ~all
ethicsusplanet.uk	FR	213.186.33.186	dns200.anycast.me,ns200.anycast.me		{'exchange': 'redirect.ovh.net', 'priority': 1}	v=spf1 include:mx.ovh.com ~all
helensburghwinterfestival.co.uk	US	66.96.160.143	ns2.netfirms.com,ns1.netfirms.com		{'exchange': 'mx.helensburghwinterfestival.co.uk', 'priority': 30}	v=spf1 ip4:66.96.128.0/18 ?all
icaredyslexia.uk	DE	82.165.137.10	ns1028.ui-dns.de,ns1028.ui-dns.com,ns1028.ui-dns.biz,ns1028.ui-dns.org		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
ethnic-discount.uk	FR	213.186.33.5	dns15.ovh.net,ns15.ovh.net		{'exchange': 'redirect.ovh.net', 'priority': 1}	4|www.ethnic-discount.com/en
icarehealthgroup.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
helenscott.co.uk	GB	46.32.240.35	sue.ns.cloudflare.com,trey.ns.cloudflare.com		{'exchange': 'alt1.aspmx.l.google.com', 'priority': 5},{'exchange': 'aspmx.l.google.com', 'priority': 1},{'exchange': 'alt4.aspmx.l.google.com', 'priority': 10},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 5},{'exchange': 'alt3.aspmx.l.google.com', 'priority': 10}	
icarehome.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
evieandamelie.uk	US	77.104.129.87	ns2.tsohost.co.uk,ns1.tsohost.co.uk,ns3.tsohost.co.uk		{'exchange': 'mail3.eqx.gridhost.co.uk', 'priority': 0}	v=spf1 a mx include:gridhost.co.uk ip4:95.142.156.0/24 ip4:195.62.28.0/23 ~all
helenscrafts.co.uk	GB	85.159.56.76	ns1.ekmdomains.net,ns2.ekmdomains.net,ns3.ekmdomains.net		{'exchange': 'mail.helenscrafts.co.uk', 'priority': 0}	v=spf1 a ?all
eviforsen.uk	NL	82.201.35.66	ns01.is.nl,ns02.is.nl,ns03.is.nl		{'exchange': 'etrn.is.nl', 'priority': 30},{'exchange': 'mail.werkonline.nu', 'priority': 10}	
evil-bikes.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
icarusguitars.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helensdrivinglessons.co.uk	DE	217.160.233.194	ns1031.ui-dns.com,ns1031.ui-dns.org,ns1031.ui-dns.biz,ns1031.ui-dns.de		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 10}	
ethos-pr.uk	GB	85.233.160.22	ns0.phase8.net,ns1.phase8.net,ns2.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helensfalafelpalace.co.uk	GB	91.203.75.179	ns2.domainsfoundry.co.uk,ns1.domainsfoundry.co.uk		{'exchange': 'mail.helensfalafelpalace.co.uk', 'priority': 10}	
ethosapps.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'alt1.aspmx.l.google.com', 'priority': 5},{'exchange': 'alt4.aspmx.l.google.com', 'priority': 10},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 5},{'exchange': 'aspmx.l.google.com', 'priority': 1},{'exchange': 'alt3.aspmx.l.google.com', 'priority': 10}	v=spf1 include:spf.hosts.co.uk ~all
icatserver.uk	NO	185.134.245.113	ns1.hyp.net,ns2.hyp.net,ns3.hyp.net			v=spf1 -all
ethosforum.uk	US	184.168.221.55	ns31.domaincontrol.com,ns32.domaincontrol.com			
icbc2016.uk	GB	213.171.195.105	ns3.livedns.co.uk,ns1.livedns.co.uk,ns2.livedns.co.uk		{'exchange': 'mailserver.icbc2016.uk', 'priority': 10}	v=spf1 mx a ptr ip4:78.129.251.0/24 ip4:82.71.156.0/24 ip4:62.13.148.0/24 ip4:213.171.216.0/24 ip4:185.156.65.0/24 ip4:185.160.182.47 ip4:185.160.182.48 a:authsmtp.com include:authsmtp.com ?all
ethostestequipment.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30}	
icbrands.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
ethyco.uk	GB	185.151.29.9	ns1.escrivo.uk,ns2.escrivo.uk,ns3.escrivo.uk,ns4.escrivo.uk			
icbritain.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
eticloud.uk	GB	46.32.240.41	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helensglass.co.uk	GB	185.26.230.131	ns2.meganameservers.eu,ns1.meganameservers.eu,ns3.meganameservers.eu		{'exchange': 'mx2c51.megamailservers.eu', 'priority': 100},{'exchange': 'mx3c51.megamailservers.eu', 'priority': 110},{'exchange': 'mx1c51.megamailservers.eu', 'priority': 10}	
etiholidays.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helenshandmadecards.co.uk	US	184.168.131.241	ns54.domaincontrol.com,ns53.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
evolutionstairs.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helensheaneltd.co.uk	US	209.235.144.9	dns106.b.register.com,dns082.d.register.com,dns023.a.register.com,dns170.c.register.com		{'exchange': 'helensheaneltd-co-uk.mail.eo.outlook.com', 'priority': 1},{'exchange': 'ibmr.btconnect.com', 'priority': 10}	
evolutivefinance.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helenshieldsbeauty.co.uk	GB	77.72.1.34	ns2.krystal.co.uk,ns1.krystal.co.uk		{'exchange': 'mx1.krystal.co.uk', 'priority': 10},{'exchange': 'mx2.krystal.co.uk', 'priority': 20}	
evolve-dentistry.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helenshingler.co.uk	US	184.168.131.241	ns57.domaincontrol.com,ns58.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
evolve-design.uk	GB	62.233.121.61	ns1.namecity.com,ns2.namecity.com			
helenshinton.co.uk	US	31.170.166.87	ns2.hostinger.co.uk,ns4.hostinger.co.uk,ns3.hostinger.co.uk,ns1.hostinger.co.uk		{'exchange': 'mx1.hostinger.co.uk', 'priority': 10}	
helenshomehelp.co.uk	DE	217.160.231.65	ns1028.ui-dns.org,ns1054.ui-dns.de,ns1046.ui-dns.com,ns1036.ui-dns.biz		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
helensiddle.co.uk	US	50.63.202.47	ns32.domaincontrol.com,ns31.domaincontrol.com			
icdsolutions.uk	GB	46.23.69.44	dns3.uk2.net,dns1.uk2.net,dns2.uk2.net		{'exchange': 'mx.icdsolutions.uk.cust.a.hostedemail.com', 'priority': 0}	
helensimms.co.uk	GB	213.171.195.105	ns2.livedns.co.uk,ns1.livedns.co.uk,ns3.livedns.co.uk			
icdss.uk	GB	85.233.160.22	ns1.phase8.net,ns0.phase8.net,ns2.phase8.net		{'exchange': 'hermes.hosts.co.uk', 'priority': 10},{'exchange': 'athena.hosts.co.uk', 'priority': 10}	
helenskelton.co.uk	US	108.167.141.119	ns8333.hostgator.com,ns8334.hostgator.com		{'exchange': 'helenskelton.co.uk', 'priority': 0}	v=spf1 a mx include:websitewelcome.com ~all
ice-axe.uk	US	50.63.202.37	ns22.domaincontrol.com,ns21.domaincontrol.com		{'exchange': 'iceaxe-uk0i.mail.protection.outlook.com', 'priority': 0}	v=spf1 include:spf.protection.outlook.com -all
helensmiles.co.uk	GB	79.170.44.108	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
ice-control.uk	US	50.63.202.42	ns28.domaincontrol.com,ns27.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
helensmotoringacademy.co.uk	GB	93.184.220.23	ns3.meganameservers.eu,ns1.meganameservers.eu,ns2.meganameservers.eu		{'exchange': 'mx2c51.megamailservers.eu', 'priority': 100},{'exchange': 'mx3c51.megamailservers.eu', 'priority': 110},{'exchange': 'mx1c51.megamailservers.eu', 'priority': 10}	
ice-drive.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
ice-green.uk	US	198.185.159.144,198.49.23.145,198.49.23.144,198.185.159.145	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helensmythe.co.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
helensnails.co.uk	US	23.236.62.147	ns11.wixdns.net,ns10.wixdns.net		{'exchange': 'aspmx.l.google.com', 'priority': 10},{'exchange': 'alt2.aspmx.l.google.com', 'priority': 30},{'exchange': 'aspmx3.googlemail.com', 'priority': 50},{'exchange': 'aspmx2.googlemail.com', 'priority': 40},{'exchange': 'alt1.aspmx.l.google.com', 'priority': 20}	google-site-verification=d_cjbbEoOrRT9cnLdL2hB8XFQb3b8015ago65DbCdfY
helenspilatesandyoga.co.uk	GB	79.170.44.206	ns1.sky.uk.net,ns2.sky.uk.net		{'exchange': 'mail.helenspilatesandyoga.co.uk', 'priority': 10}	
iceagedinogame.uk			ns1.foxfilm.com,ns2.foxfilm.com			
icebear.uk			dns2.bcs-hosting.net,dns1.bcs-hosting.net			
helenssweetemporium.co.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
icebergbasements.uk	AU	203.170.80.250	ns1.crazydomains.com,ns2.crazydomains.com			
helenstanwell.co.uk	GB	94.76.205.58	ns35.dnshostcentral.com,ns36.dnshostcentral.com		{'exchange': 'helenstanwell.co.uk', 'priority': 0}	
icebergdesign.uk	GB	94.136.40.51	ns2.123-reg.co.uk,ns.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helensteel.co.uk			d.ns.ns247.net,c.ns.ns247.net,b.ns.ns247.net,a.ns.ns247.net			
icebluecloud.uk	GB	85.233.160.22	ns1.phase8.net,ns2.phase8.net,ns0.phase8.net		{'exchange': 'fwd1.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30}	
helensteele.co.uk	US	50.63.202.47	ns62.domaincontrol.com,ns61.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
icebros.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx1.123-reg.co.uk', 'priority': 20},{'exchange': 'mx0.123-reg.co.uk', 'priority': 10}	
helenstests.co.uk	GB	85.159.56.118	ns2.ekmdomains.net,ns3.ekmdomains.net,ns1.ekmdomains.net		{'exchange': 'mail.helenstests.co.uk', 'priority': 0}	v=spf1 a mx include:spf.mailer01.com ?all
helenstevens.co.uk	GB	84.22.161.134	ns1.namecity.com,ns2.namecity.com		{'exchange': 'nicmail3.iomart.com', 'priority': 10}	
icecoldgorilla.uk	US	50.63.202.49	ns21.domaincontrol.com,ns22.domaincontrol.com			
helenstirlingmaps.co.uk			dns1.name-services.com,dns2.name-services.com,dns4.name-services.com,dns5.name-services.com,dns3.name-services.com		{'exchange': 'mail1.cali.co.uk', 'priority': 10}	
helenstockton.co.uk	US	66.235.200.38	ns2.websitebuilder.com,ns1.websitebuilder.com			
icecreamclub.uk	US	184.168.221.34	ns71.domaincontrol.com,ns72.domaincontrol.com		{'exchange': 'smtp.secureserver.net', 'priority': 0},{'exchange': 'mailstore1.secureserver.net', 'priority': 10}	
helenstrickland.co.uk	US	50.63.202.42	ns11.domaincontrol.com,ns12.domaincontrol.com			
icecreamhosting.uk	GB	85.233.160.22	ns2.phase8.net,ns1.phase8.net,ns0.phase8.net		{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
helenstuart.co.uk	DE	217.160.0.147	ns1064.ui-dns.biz,ns1064.ui-dns.com,ns1064.ui-dns.de,ns1064.ui-dns.org		{'exchange': 'mx01.1and1.co.uk', 'priority': 10},{'exchange': 'mx00.1and1.co.uk', 'priority': 10}	
icecurrency.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
helensullivanmassage.co.uk	US	23.236.62.147	ns15.wixdns.net,ns14.wixdns.net			
icedelegance.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
helenswain.co.uk	DK	46.30.213.97	ns01.one.com,ns02.one.com		{'exchange': 'mx2.pub.mailpod3-cph3.one.com', 'priority': 10},{'exchange': 'mx1.pub.mailpod3-cph3.one.com', 'priority': 10},{'exchange': 'mx3.pub.mailpod3-cph3.one.com', 'priority': 10}	
iceexpert.uk	GB	62.233.121.61	ns1.namecity.com,ns2.namecity.com			
helenswift.co.uk	US	162.241.225.60	ns1.bluehost.com,ns2.bluehost.com		{'exchange': 'mail.helenswift.co.uk', 'priority': 0}	v=spf1 a mx ptr include:bluehost.com ?all
icefabs.uk	US	50.63.202.46	ns53.domaincontrol.com,ns54.domaincontrol.com		{'exchange': 'mailstore1.secureserver.net', 'priority': 10},{'exchange': 'smtp.secureserver.net', 'priority': 0}	
helentanner.co.uk	GB	78.129.169.52	ns3.webhosting-24-7-365.com,ns4.webhosting-24-7-365.com,ns2.webhosting-24-7-365.com,ns1.webhosting-24-7-365.com		{'exchange': 'helentanner.co.uk', 'priority': 0}	
icegarden.uk	US	75.126.76.138	ns32.domaincontrol.com,ns31.domaincontrol.com			
helentaylorgardendesign.co.uk	US	198.185.159.145,198.49.23.145,198.49.23.144,198.185.159.144	ns2.livedns.co.uk,ns1.livedns.co.uk,ns3.livedns.co.uk		{'exchange': 'helentaylorgardendesign-co-uk.mail.protection.outlook.com', 'priority': 0}	v=spf1 include:spf.protection.outlook.com -all
icegroup.uk			ns2.nameservers.co.uk,ns1.nameservers.co.uk			
icehockeycoach.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
iceilings.uk	US	204.74.19.142	ns1.armstrong.com,ns2.armstrong.com,ns3.armstrong.com			
iceimplants.uk	DE	87.106.62.173	ns1021.ui-dns.de,ns1021.ui-dns.biz,ns1021.ui-dns.org,ns1021.ui-dns.com		{'exchange': 'mx00.1and1.co.uk', 'priority': 10},{'exchange': 'mx01.1and1.co.uk', 'priority': 11}	
iceinbusiness.uk	GB	94.136.40.82	ns.123-reg.co.uk,ns2.123-reg.co.uk			
icelandcashboost.uk	GB	217.19.248.132	ns1.p13.dynect.net,ns2.p13.dynect.net,ns3.p13.dynect.net,ns4.p13.dynect.net		{'exchange': 'mail.idp365.net', 'priority': 10}	
icelandenergy.uk			ns2.domainmonster.com,ns3.domainmonster.com,ns1.domainmonster.com			
icelandseafood.uk			ns1.bdm.microsoftonline.com,ns2.bdm.microsoftonline.com,ns3.bdm.microsoftonline.com,ns4.bdm.microsoftonline.com		{'exchange': 'icelandseafood-uk.mail.protection.outlook.com', 'priority': 0}	mscid=MndiOlvtkfzqbu3Y9v58tTNmt5ZZX8ASoDmJgAXO5GuaAbmPA/YRis/OM2vlGWo8qqQuIX2JwwmFX7mggkJwiw==
icelectrical.uk	GB	94.136.40.51	ns.123-reg.co.uk,ns2.123-reg.co.uk		{'exchange': 'mx0.123-reg.co.uk', 'priority': 10},{'exchange': 'mx1.123-reg.co.uk', 'priority': 20}	
icelondon.uk	GB	85.233.160.22	ns2.phase8.net,ns0.phase8.net,ns1.phase8.net		{'exchange': 'fwd2.hosts.co.uk', 'priority': 30},{'exchange': 'fwd0.hosts.co.uk', 'priority': 30},{'exchange': 'fwd1.hosts.co.uk', 'priority': 30}	
iceltic.uk	GB	94.136.40.82	ns2.123-reg.co.uk,ns.123-reg.co.uk			
icenia.uk	GB	46.23.69.44	dns3.uk2.net,dns2.uk2.net,dns1.uk2.net		{'exchange': 'mx.icenia.uk.cust.a.hostedemail.com', 'priority': 0}	
